timestamp (μs),power (μA),pins (D0-D7)
22847,1.8060879,01000000
22876,1.7401495,01000000
22928,1.6654196,01000000
23006,1.64344,01000000
23036,1.7533373,01000000
23062,1.6214606,01000000
23180,1.4807923,01000000
23210,1.6522318,01000000
23236,1.64344,01000000
23380,1.5599182,01000000
23408,1.6742113,01000000
23437,1.6522318,01000000
23561,1.5643141,01000000
23590,1.7093785,01000000
23616,1.7753166,01000000
23727,1.6390442,01000000
23757,1.6214607,01000000
23783,1.3972702,01000000
23811,1.4280415,01000000
23906,1.4983757,01000000
23936,1.4895841,01000000
23962,1.5643141,01000000
24072,1.3972702,01000000
24102,1.5775017,01000000
24128,1.4456251,01000000
24289,1.5599182,01000000
24317,1.2829771,01000000
24343,1.2829771,01000000
24867,1.4192498,01000000
24897,1.3752908,01000000
24923,1.4324373,01000000
25039,1.5687101,01000000
25069,1.406062,01000000
25095,1.2785813,01000000
25123,1.4324373,01000000
25290,1.370895,01000000
25317,1.3489155,01000000
25344,1.5950854,01000000
25466,1.4720004,01000000
25494,1.450021,01000000
25522,1.3445196,01000000
25632,1.2258307,01000000
25660,1.3401238,01000000
25687,1.3840826,01000000
25804,1.2785814,01000000
25833,1.2522058,01000000
25861,1.2961648,01000000
25977,1.3049566,01000000
26005,1.1730798,01000000
26033,1.2741854,01000000
26060,1.1774758,01000000
26167,1.1774758,01000000
26196,1.2170388,01000000
26223,1.1818718,01000000
26383,1.2170389,01000000
26410,1.1950595,01000000
26438,1.2478101,01000000
26549,1.089558,01000000
26579,1.1554964,01000000
26605,1.1379128,01000000
26721,1.1467046,01000000
26749,1.0324113,01000000
26777,1.0543909,01000000
26887,1.1467046,01000000
26916,1.2170388,01000000
26944,1.1027457,01000000
26971,1.1247251,01000000
27150,1.0016402,01000000
27179,1.1379126,01000000
27207,1.0587867,01000000
27390,1.1291211,01000000
27418,1.089558,01000000
27446,1.0499951,01000000
27562,1.0587867,01000000
27590,1.0324115,01000000
27618,1.0280155,01000000
27728,1.0368074,01000000
27756,1.1247251,01000000
27782,1.014828,01000000
28371,1.1862676,01000000
28399,1.0631827,01000000
28426,1.1203293,01000000
28454,0.9576813,01000000
28560,0.94449365,01000000
28587,0.966473,01000000
28615,1.0499951,01000000
28731,1.1906636,01000000
28759,1.1071416,01000000
28787,6.905319,01000000
28898,6.8481727,01000000
28925,6.6723375,01000000
28953,6.4745226,01000000
29064,6.4745226,01000000
29092,6.417375,01000000
29120,6.1712065,01000000
29274,6.048121,01000000
29301,6.026142,01000000
29329,5.7975554,01000000
29357,5.6568866,01000000
29470,5.7316175,01000000
29498,5.687658,01000000
29526,5.5865526,01000000
29642,5.4326963,01000000
29670,5.3623624,01000000
29697,5.2788405,01000000
29807,5.20411,01000000
29836,5.1865263,01000000
29864,5.116193,01000000
29980,4.9535446,01000000
30009,4.88321,01000000
30036,4.8876066,01000000
30146,4.8656273,01000000
30175,4.900794,01000000
30203,4.777709,01000000
30230,4.632645,01000000
30389,4.4831843,01000000
30417,4.465601,01000000
30445,4.4436216,01000000
30554,4.351308,01000000
30581,4.4436216,01000000
30609,4.26339,01000000
30726,4.105138,01000000
30754,3.9424903,01000000
30783,3.9293027,01000000
30892,3.8501763,01000000
30921,3.8545723,01000000
30949,3.8721557,01000000
31059,3.7930298,01000000
31088,3.7798424,01000000
31115,3.8106132,01000000
31143,3.6479657,01000000
31689,3.5600476,01000000
31717,3.4457545,01000000
31744,3.5864232,01000000
31862,3.4017956,01000000
31890,3.3534408,01000000
31918,3.3402534,01000000
32028,3.3226695,01000000
32056,3.2083766,01000000
32084,3.155626,01000000
32279,3.160022,01000000
32307,3.15123,01000000
32334,3.160022,01000000
32458,3.080896,01000000
32486,3.0852916,01000000
32513,3.080896,01000000
32541,3.0413327,01000000
32666,2.9182477,01000000
32694,2.8435178,01000000
32722,2.909456,01000000
32832,2.8083508,01000000
32861,2.5182219,01000000
32888,2.7028491,01000000
32999,2.7424123,01000000
33027,2.68087,01000000
33054,2.6105359,01000000
33170,2.478659,01000000
33198,2.4127204,01000000
33226,2.4215124,01000000
33363,2.307219,01000000
33391,2.4962425,01000000
33417,2.4522839,01000000
33446,2.3072193,01000000
33551,2.3291986,01000000
33579,2.1753426,01000000
33607,2.2544684,01000000
33719,2.1225922,01000000
33747,2.1885304,01000000
33774,2.153363,01000000
33890,2.4083247,01000000
33919,2.2017179,01000000
33947,2.2061138,01000000
34056,2.276448,01000000
34086,2.192926,01000000
34113,2.0126948,01000000
34274,2.1445715,01000000
34302,2.1621552,01000000
34329,2.0082989,01000000
34357,2.0742373,01000000
34469,2.0302782,01000000
34497,1.9687359,01000000
34524,1.8764222,01000000
35051,1.8720262,01000000
35079,2.0082986,01000000
35107,1.8104839,01000000
35288,1.9115894,01000000
35316,1.8676304,01000000
35342,1.722566,01000000
35456,1.6917948,01000000
35486,1.6038771,01000000
35512,1.6786072,01000000
35621,1.8104839,01000000
35651,1.7577331,01000000
35678,1.7093785,01000000
35706,1.7445456,01000000
35814,1.7489414,01000000
35844,1.6258566,01000000
35870,1.6566277,01000000
35986,1.485188,01000000
36016,1.6873991,01000000
36042,1.8984019,01000000
36151,1.5599182,01000000
36179,1.489584,01000000
36207,1.7137741,01000000
36375,1.6346483,01000000
36405,1.612669,01000000
36430,1.6917948,01000000
36539,1.529147,01000000
36569,1.3972702,01000000
36595,1.450021,01000000
36623,1.5423347,01000000
36735,1.5115634,01000000
36763,1.5467305,01000000
36791,1.5599183,01000000
36901,1.4983757,01000000
36930,1.3401239,01000000
36957,1.2653936,01000000
37068,1.5467305,01000000
37097,1.6170647,01000000
37125,1.5775019,01000000
37300,1.3972703,01000000
37328,1.5555222,01000000
37355,1.485188,01000000
37486,1.4148538,01000000
37515,1.3489156,01000000
37542,1.3796866,01000000
37570,1.370895,01000000
37695,1.2478101,01000000
37723,1.2170388,01000000
37751,1.2522058,01000000
37867,1.3489155,01000000
37896,1.2961648,01000000
37923,1.2566017,01000000
38463,1.3489155,01000000
38491,1.2346224,01000000
38519,1.2346224,01000000
38631,1.2566018,01000000
38658,1.1027457,01000000
38685,1.2478101,01000000
38801,1.1862675,01000000
38832,1.0807663,01000000
38858,1.2390182,01000000
38886,1.252206,01000000
38992,1.1379128,01000000
39020,1.0236197,01000000
39048,1.085162,01000000
39158,1.0983498,01000000
39187,1.0587867,01000000
39213,1.2170389,01000000
39379,1.2126429,01000000
39407,1.2478101,01000000
39433,1.1203293,01000000
39545,1.2346224,01000000
39573,1.1159334,01000000
39600,1.0192238,01000000
39717,1.24781,01000000
39745,1.1423086,01000000
39772,1.093954,01000000
39800,1.164288,01000000
39906,1.0939538,01000000
39934,1.014828,01000000
39961,1.0631826,01000000
40080,1.1159333,01000000
40109,1.0280155,01000000
40136,1.1950593,01000000
40283,1.212643,01000000
40311,1.1379128,01000000
40338,1.0499951,01000000
40455,1.085162,01000000
40484,1.0763702,01000000
40511,0.9576813,01000000
40626,1.0939538,01000000
40655,1.0939538,01000000
40682,1.0719745,01000000
40710,2.118196,01000000
40817,6.8305893,01000000
40846,6.689921,01000000
40873,6.5140853,01000000
40989,6.259124,01000000
41018,6.3338537,01000000
41045,6.4305634,01000000
41156,6.2459364,01000000
41184,6.039329,01000000
41212,5.885473,01000000
41737,5.8854733,01000000
41764,5.7052417,01000000
41793,5.7535963,01000000
41910,5.692054,01000000
41938,5.3535705,01000000
41966,5.3579664,01000000
41994,5.384342,01000000
42098,5.2304854,01000000
42126,5.1161923,01000000
42153,5.015087,01000000
42290,4.9271693,01000000
42317,4.8172717,01000000
42345,4.702979,01000000
42510,4.672208,01000000
42538,4.689791,01000000
42565,4.7601256,01000000
42695,4.6106653,01000000
42723,4.3205366,01000000
42750,4.5623107,01000000
42879,4.58429,01000000
42907,4.3688912,01000000
42935,4.3205366,01000000
